depth,table,price,x,y,z,df_original,id,cut_int,color_int,clarity_int,raw_density,carat_sqr
60.8,56.0,,5.33,5.3,3.23,0,175.0,5,5,4,3.682423016809714,0.09834496000000004
62.4,56.0,,6.36,6.4,3.98,0,176.0,5,2,3,3.740696406561107,1.04060401
61.5,58.0,,5.67,5.71,3.5,0,177.0,3,6,6,3.7064835663784867,0.24009999999999995
61.7,58.0,,5.63,5.69,3.49,0,178.0,3,5,4,3.756671345183418,0.24009999999999995
59.2,61.0,,6.42,6.36,3.78,0,179.0,4,3,2,3.731973402225562,0.8493465599999999
63.1,56.0,,6.18,6.12,3.88,0,180.0,3,5,2,3.6797823923884447,0.6561
56.6,59.0,,5.77,5.74,3.26,0,181.0,2,6,2,3.5565254332135097,0.16777216
61.8,54.0,,4.33,4.37,2.69,0,182.0,5,5,8,3.654191734143642,0.009235209999999999
62.7,58.0,,5.05,5.09,3.18,0,183.0,3,4,5,3.743562998476517,0.06765201
61.5,56.0,,4.34,4.37,2.68,0,184.0,5,6,4,3.659375564153732,0.009235209999999999
62.7,59.0,,6.36,6.3,3.97,0,185.0,4,4,2,3.7719252585466165,1.0
59.3,59.0,,4.79,4.83,2.85,0,186.0,4,5,4,3.6398521037093965,0.025600000000000005
62.1,53.8,,4.66,4.67,2.9,0,187.0,5,5,4,3.612717907894075,0.02085136
64.1,58.0,,3.85,3.89,2.48,0,188.0,3,6,6,3.7154983667961523,0.0027984100000000003
61.5,57.0,,5.28,5.23,3.23,0,189.0,5,4,5,3.699779197177512,0.09150625000000003
62.4,55.0,,5.24,5.28,3.28,0,190.0,5,5,6,3.6364271085458957,0.09150625000000003
61.6,55.0,,4.48,4.51,2.77,0,191.0,5,3,6,3.5377803494383575,0.011859210000000002
62.3,55.0,,4.56,4.53,2.83,0,192.0,5,5,4,3.5922769739972513,0.015006249999999997
60.5,56.0,,6.54,6.49,3.94,0,193.0,5,4,4,3.587836001738522,1.0
60.1,61.0,,6.35,6.37,3.82,0,194.0,3,7,2,3.6889123397288937,0.8145062499999999
61.4,56.0,,5.72,5.75,3.52,0,195.0,5,2,4,3.627795129771414,0.24009999999999995
61.9,55.0,,4.31,4.35,2.68,0,196.0,5,5,4,3.7017886804078657,0.009235209999999999
60.5,60.0,,7.49,7.46,4.52,0,197.0,4,4,4,3.6823398559899454,5.7720062500000004
60.6,58.0,,4.47,4.44,2.7,0,198.0,4,3,4,3.58300134586488,0.01048576
61.4,57.0,,6.98,6.86,4.25,0,199.0,5,5,4,3.6559855215111017,2.3642137599999997
59.6,66.0,,7.31,7.23,4.33,0,200.0,1,4,4,3.7230256142982423,4.0658689599999995
62.0,55.0,,6.56,6.6,4.08,0,201.0,5,3,5,3.668318768749186,1.3604889600000003
63.1,57.0,,4.29,4.27,2.7,0,202.0,3,2,7,3.6393479016429837,0.0081
61.9,57.0,,4.83,4.86,3.0,0,203.0,5,6,2,3.6636590581840185,0.03418801
61.6,56.0,,6.42,6.47,3.97,0,204.0,3,5,4,3.638492088080762,1.0
61.3,60.0,,6.59,6.52,4.02,0,205.0,4,1,2,3.682120968372805,1.2624769600000003
60.5,57.0,,4.39,4.42,2.67,0,206.0,3,4,5,3.5901690054687547,0.009235209999999999
62.2,58.0,,5.66,5.72,3.54,0,207.0,3,5,5,3.717011263277059,0.25411680999999997
61.6,58.0,,4.33,4.37,2.68,0,208.0,4,5,8,3.6678267779277594,0.009235209999999999
60.3,60.0,,7.66,7.57,4.59,0,209.0,4,3,2,3.6294414246815507,6.7189824100000015
61.1,58.0,,5.66,5.73,3.48,0,210.0,3,7,3,3.7213369338863025,0.24009999999999995
59.7,54.0,,6.99,6.92,4.15,0,211.0,5,2,7,3.526971016368433,1.9387777599999996
62.5,55.0,,7.29,7.34,4.57,0,212.0,5,3,4,3.7050016811138424,5.19885601
62.6,58.0,,4.28,4.31,2.69,0,213.0,4,1,5,3.6274312152386297,0.0081
60.3,60.1,,5.22,5.25,3.16,0,214.0,3,2,4,3.67206390776884,0.07890481000000002
62.5,54.0,,4.31,4.33,2.7,0,215.0,5,5,8,3.572264226095747,0.0081
61.6,57.0,,5.73,5.76,3.54,0,216.0,5,2,6,3.6974591061022863,0.26873855999999996
61.0,58.0,,5.78,5.72,3.51,0,217.0,4,6,3,3.6192476969692833,0.24009999999999995
62.2,53.0,,4.86,4.91,3.04,0,218.0,5,2,5,3.55654543313099,0.03418801
63.6,58.0,,5.72,5.62,3.6,0,219.0,2,5,1,3.7329218823880743,0.26873855999999996
58.3,58.0,,6.61,6.51,3.82,0,220.0,4,1,1,3.650105686985114,1.0
62.1,56.0,,5.42,5.44,3.37,0,221.0,5,4,5,3.683434896838059,0.13845840999999998
61.3,56.0,,6.86,6.91,4.22,0,222.0,5,5,4,3.62929279600577,2.14358881
61.8,57.0,,4.68,4.7,2.9,0,223.0,5,7,5,3.668378576669113,0.023134410000000005
61.6,60.0,,4.86,4.82,2.98,0,224.0,4,5,6,3.6958993395170023,0.03418801
60.0,60.0,,6.53,6.57,3.93,0,225.0,5,2,3,3.594194067014033,1.04060401
64.8,55.0,,6.04,6.15,3.95,0,226.0,2,2,6,3.680311763298704,0.6561
62.9,60.0,,5.57,5.49,3.48,0,227.0,4,5,2,3.946776256239148,0.24009999999999995
61.2,58.0,,7.01,7.05,4.3,0,228.0,3,2,4,3.698681674091089,2.9449992100000006
62.2,55.0,,5.32,5.35,3.32,0,229.0,5,4,5,3.6827797452193707,0.11316495999999997
62.4,59.0,,6.37,6.42,3.99,0,230.0,3,5,3,3.7138577749116113,1.04060401
61.8,60.0,,5.18,5.15,3.19,0,231.0,4,6,3,3.666290911018063,0.07311616000000001
57.4,62.0,,4.67,4.71,2.69,0,232.0,2,7,7,3.4477843954393723,0.013363360000000005
62.4,56.0,,5.1,5.13,3.19,0,233.0,5,5,4,3.5945375968862687,0.0625
62.9,55.0,,4.47,4.43,2.8,0,234.0,5,7,4,3.6792634547418137,0.013363360000000005
60.5,57.0,,7.4,7.43,4.49,0,235.0,5,4,2,3.645655565429432,5.0625
62.2,55.0,,4.72,4.74,2.94,0,236.0,5,7,6,3.6487454883262047,0.025600000000000005
62.4,60.0,,4.82,4.79,3.0,0,237.0,4,7,3,3.7249109919524597,0.03418801
64.2,60.0,,6.35,6.27,4.05,0,238.0,2,2,5,3.758169250640587,1.04060401
62.3,59.0,,6.36,6.45,3.99,0,239.0,3,4,8,3.739053645522317,1.08243216
59.2,60.0,,7.11,7.08,4.2,0,240.0,3,2,4,3.604149710135549,2.6014464100000003
62.0,58.0,,4.56,4.54,2.82,0,241.0,4,6,4,3.6998485528659026,0.016796159999999997
62.3,57.0,,8.04,8.08,5.02,0,242.0,5,2,3,3.698078971243738,16.322408009999993
62.5,60.0,,6.39,6.42,4.0,0,243.0,4,6,2,3.6929782223977305,1.04060401
63.7,58.0,,4.27,4.3,2.73,0,244.0,2,7,2,3.7106839568579133,0.009235209999999999
62.3,57.0,,4.78,4.75,2.97,0,245.0,5,5,4,3.6480195035579306,0.028257609999999992
62.2,54.0,,5.7,5.75,3.56,0,246.0,5,2,6,3.651042604067569,0.25411680999999997
58.4,60.0,,6.85,6.81,3.99,0,247.0,4,4,5,3.5459561150859407,1.4641000000000004
61.8,56.0,,6.84,6.88,4.24,0,248.0,5,6,5,3.6686027266498855,2.2153345599999996
62.0,55.0,,6.68,6.65,4.13,0,249.0,5,4,3,3.662866696834445,1.5735193600000006
62.6,57.0,,6.18,6.13,3.85,0,250.0,5,6,5,3.784682034258367,0.7163929600000001
62.1,56.0,,4.93,4.96,3.07,0,251.0,5,4,8,3.6765638344195013,0.044774560000000005
63.8,59.0,,5.87,5.83,3.73,0,252.0,2,5,3,3.7603281820153645,0.4096000000000001
61.8,57.0,,6.68,6.65,4.12,0,253.0,5,6,2,3.7045406959640825,1.6304736099999995
59.1,58.0,,6.52,6.44,3.83,0,254.0,4,6,3,3.730946429678276,1.0
60.8,57.0,,4.92,4.89,2.98,0,255.0,4,6,6,3.5985660634800447,0.03418801
62.4,55.0,,4.33,4.35,2.71,0,256.0,5,4,5,3.643900419254252,0.009235209999999999
63.0,56.0,,5.61,5.66,3.55,0,257.0,3,2,3,3.7259896561204306,0.24009999999999995
61.2,58.0,,4.48,4.51,2.75,0,258.0,4,3,7,3.6714948023152014,0.013363360000000005
62.4,55.0,,7.42,7.32,4.6,0,259.0,5,6,4,3.6502450467135317,5.33794816
60.1,59.0,,6.7,6.64,4.01,0,260.0,4,4,4,3.632350520928394,1.3604889600000003
60.5,61.0,,6.51,6.45,3.92,0,261.0,4,4,3,3.6452261753485025,1.0
62.3,55.0,,5.24,5.2,3.25,0,262.0,5,4,5,3.6587018383847516,0.08503056000000002
62.4,54.0,,5.98,5.94,3.72,0,263.0,3,6,5,3.632542201967167,0.4096000000000001
62.4,55.0,,4.37,4.35,2.72,0,264.0,5,5,5,3.5972725711447686,0.009235209999999999
60.7,58.0,,5.32,5.35,3.24,0,265.0,3,5,6,3.708648568461652,0.10556000999999997
62.2,56.0,,8.31,8.26,5.15,0,266.0,5,3,1,3.6662046287021557,21.767823360000005
62.4,58.0,,5.09,5.13,3.19,0,267.0,4,7,4,3.745663539073628,0.07311616000000001
61.0,56.0,,4.9,4.93,3.0,0,268.0,3,2,8,3.5600447075381876,0.03418801
61.6,59.0,,6.53,6.49,4.01,0,269.0,4,5,6,3.671828082043492,1.1698585600000002
61.0,58.0,,6.46,6.52,3.96,0,270.0,3,6,5,3.669240027005607,1.08243216
62.2,59.0,,4.53,4.57,2.83,0,271.0,4,4,5,3.6868283091677947,0.016796159999999997
61.0,60.0,,6.7,6.64,4.07,0,272.0,4,4,2,3.711350591408135,1.5735193600000006
64.1,56.0,,6.28,6.24,4.01,0,273.0,2,7,3,3.818234912473838,1.0
60.7,60.0,,4.37,4.33,2.64,0,274.0,4,2,3,3.723399910926665,0.009235209999999999
62.1,54.0,,4.41,4.42,2.74,0,275.0,5,5,7,3.594924775075667,0.01048576
62.8,57.0,,6.46,6.41,4.04,0,276.0,5,4,4,3.6583016212779835,1.08243216
62.3,57.0,,4.54,4.58,2.84,0,277.0,5,3,3,3.6577505159460313,0.016796159999999997
62.1,60.0,,7.37,7.41,4.59,0,278.0,3,1,2,3.7579631868250707,6.075732010000001
62.1,58.0,,7.35,7.41,4.58,0,279.0,5,3,2,3.752362815960676,5.922408960000001
61.7,55.0,,5.37,5.34,3.3,0,280.0,5,3,4,3.614070527635276,0.10556000999999997
62.8,56.0,,5.74,5.7,3.59,0,281.0,5,4,4,3.6779223008264594,0.26873855999999996
61.7,63.0,,6.36,6.37,3.93,0,282.0,2,4,2,3.7684447470254345,1.0
