,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,cut_color_clarity_score,raw_density,marketing_carat,marketing_carat_int
45,0.38,Premium,E,VS2,61.8,58.0,866,4.61,4.64,2.86,4,6,4,46,3.726918604620752,regular,1
46,0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7,5,4,5,47,3.64065769068385,regular,1
47,1.0,Fair,H,SI1,55.2,64.0,3830,6.69,6.64,3.68,1,3,3,24,3.670364828391359,good,2
48,0.78,Ideal,G,VS2,61.7,55.0,3184,5.94,5.89,3.65,5,4,4,43,3.6648081860538544,regular,1
49,1.0,Very Good,D,SI1,59.8,59.0,5671,6.47,6.51,3.88,3,7,3,42,3.6714215736990528,good,2
50,0.7,Very Good,H,VS1,60.3,63.0,2399,5.77,5.73,3.47,3,3,5,38,3.6609127664892798,regular,1
51,0.64,Very Good,F,SI1,60.7,59.0,1688,5.51,5.59,3.37,3,5,3,36,3.699456429425504,regular,1
52,0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69,5,2,5,41,3.5960568656459024,regular,1
53,0.52,Ideal,G,VS2,61.9,55.0,1549,5.15,5.18,3.2,5,4,4,43,3.654833751921131,regular,1
54,0.33,Ideal,E,VS1,62.6,57.0,1002,4.42,4.4,2.76,5,6,5,53,3.6887664764902617,regular,1
55,0.3,Very Good,H,VVS1,63.4,57.0,878,4.31,4.27,2.72,3,3,7,46,3.5958242412251504,regular,1
56,1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98,2,1,3,21,3.8904800808327646,good,2
57,0.3,Ideal,E,I1,60.3,57.0,495,4.39,4.36,2.64,5,6,1,37,3.562194007534753,regular,1
58,0.47,Premium,H,VS1,61.8,58.0,1221,4.99,4.94,3.07,4,3,5,41,3.726346519939878,regular,1
59,1.59,Ideal,H,VS1,60.7,56.0,13839,7.54,7.58,4.59,5,3,5,44,3.636596677962074,regular,1
60,1.01,Good,G,SI1,63.7,60.0,5113,6.32,6.28,4.01,2,4,3,30,3.80760185322391,good,2
61,0.34,Ideal,H,SI1,62.6,56.0,628,4.48,4.46,2.8,5,3,3,36,3.6463576461974925,regular,1
62,0.31,Ideal,E,VVS2,60.8,57.0,816,4.36,4.39,2.66,5,6,6,57,3.6532576137424075,regular,1
63,0.74,Ideal,G,VS2,61.2,56.0,3434,5.82,5.85,3.57,5,4,4,43,3.6528841865409487,regular,1
64,0.33,Ideal,F,VS2,62.6,55.0,854,4.42,4.4,2.76,5,5,4,46,3.6887664764902617,regular,1
65,1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07,5,2,4,37,3.67173468045199,regular,1
66,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66,5,4,3,39,3.752229370456656,regular,1
67,0.3,Ideal,H,VVS2,61.5,57.0,776,4.34,4.31,2.66,5,3,6,48,3.617627686781936,regular,1
68,1.33,Ideal,I,VVS2,62.2,56.0,7887,7.01,7.04,4.37,5,2,6,45,3.70024752893946,regular,1
69,0.51,Very Good,H,SI1,61.2,55.0,1008,5.19,5.21,3.18,3,3,3,30,3.558682358083411,regular,1
70,0.58,Ideal,D,SI2,61.2,57.0,1342,5.36,5.4,3.29,5,7,2,44,3.654473327385362,regular,1
71,1.22,Ideal,H,VS2,62.0,58.0,7623,6.81,6.86,4.24,5,3,4,40,3.695506724247104,regular,1
72,0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66,2,3,4,31,3.8675357118578795,regular,1
73,1.62,Ideal,I,VS1,60.8,56.0,11152,7.56,7.61,4.62,5,2,5,41,3.6569400188698116,regular,1
74,1.65,Ideal,G,VS2,60.8,56.0,14456,7.65,7.7,4.67,5,4,4,43,3.5988699548341825,regular,1
75,0.55,Very Good,F,VS1,61.2,56.4,1975,5.28,5.33,3.25,3,5,5,44,3.608024245922933,regular,1
76,1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65,5,6,3,45,3.6112156430815383,regular,1
77,0.3,Premium,E,VS2,62.5,59.0,658,4.27,4.3,2.68,4,6,4,46,3.657980453378226,regular,1
78,0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96,5,7,4,52,3.6146847183825592,regular,1
79,0.3,Premium,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,4,7,6,57,3.680299723609491,regular,1
80,1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0,4,4,4,40,3.664712153518124,regular,1
81,1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06,5,2,3,33,3.699052465564516,good,2
82,0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72,1,1,4,22,3.75184090326987,regular,1
83,1.02,Premium,I,SI1,62.7,58.0,4227,6.44,6.41,4.03,4,2,3,30,3.6787686694804997,good,2
84,0.56,Premium,E,VS2,61.8,56.0,1915,5.31,5.28,3.27,4,6,4,46,3.664908034368461,regular,1
85,1.51,Very Good,F,VS1,62.6,57.0,14976,7.25,7.29,4.55,3,5,5,44,3.767482694685761,regular,1
86,1.13,Premium,I,SI1,61.8,59.0,4536,6.65,6.68,4.12,4,2,3,30,3.7045406959640825,regular,1
87,0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76,5,2,3,33,3.7158664876056178,regular,1
88,1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05,4,3,2,29,3.625474710594919,regular,1
89,0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84,3,5,4,40,3.543397323566322,regular,1
90,1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,4,4,3,36,3.721973897905461,good,2
91,0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84,3,6,2,35,3.6941154218975347,regular,1
92,0.5,Very Good,D,SI1,62.8,58.0,1415,5.02,5.05,3.16,3,7,3,42,3.744890097462014,regular,1
93,0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69,5,5,3,42,3.5772823965947773,regular,1
94,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,5,7,5,56,3.6624701816270466,regular,1
95,0.91,Fair,F,SI2,65.3,51.0,2996,6.05,5.98,3.93,1,5,2,26,3.840108839656256,regular,1
96,1.24,Premium,G,VVS1,60.4,59.0,10485,7.02,7.01,4.24,4,4,7,52,3.5657586864757214,regular,1
97,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23,5,2,2,29,3.6823480615159188,regular,1
98,0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,5,6,5,53,3.665545824210197,regular,1
99,1.0,Premium,J,VVS2,59.6,61.0,3864,6.4,6.36,3.8,4,1,6,39,3.87909632571996,good,2
100,0.71,Ideal,G,VS2,62.9,56.0,2443,5.73,5.68,3.59,5,4,4,43,3.6459624611705004,regular,1
101,0.36,Premium,E,SI1,60.8,59.0,810,4.59,4.56,2.78,4,6,3,42,3.7122005182231925,regular,1
102,0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,5,7,2,44,3.687968371983242,regular,1
103,0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91,5,3,3,36,3.6770475980566295,regular,1
104,0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73,2,7,4,43,3.712503712503712,regular,1
105,1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8,4,4,2,32,3.7658164290018084,regular,1
106,1.06,Ideal,E,SI2,62.2,55.0,5223,6.51,6.54,4.06,5,6,2,41,3.6793605299167766,regular,1
107,1.21,Ideal,G,SI2,62.1,57.0,5226,6.8,6.85,4.24,5,4,2,35,3.6759642570704085,regular,1
108,0.3,Ideal,E,VVS1,62.3,55.0,826,4.29,4.32,2.68,5,6,7,61,3.6240707882498917,regular,1
109,1.27,Ideal,I,VS2,62.6,57.0,6401,6.92,6.88,4.32,5,2,4,37,3.7049017191677494,regular,1
110,0.92,Very Good,D,SI2,62.4,60.0,4168,6.21,6.25,3.89,3,7,2,38,3.6560982576406746,regular,1
111,0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7,5,2,5,41,3.6239762267159525,regular,1
112,2.01,Good,H,VS2,57.8,60.0,18561,8.29,8.35,4.81,2,3,4,31,3.6221065814472486,good,2
113,1.51,Ideal,G,VS1,61.9,57.0,14674,7.37,7.34,4.55,5,4,5,47,3.68089350967874,regular,1
114,1.83,Very Good,G,VS2,60.5,59.0,18358,7.89,7.99,4.8,3,4,4,37,3.6285851611091813,regular,1
115,0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87,4,5,5,47,3.754531559036131,regular,1
116,0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43,4,5,6,51,3.6124653929741948,regular,1
117,0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,5,2,3,33,3.615382414717059,regular,1
118,1.5,Premium,D,SI1,62.4,58.0,12069,7.27,7.31,4.55,4,7,3,45,3.7220253351234076,regular,1
119,0.32,Very Good,G,VS1,62.1,55.0,645,4.41,4.44,2.75,3,4,5,41,3.5657178514321375,regular,1
120,1.0,Ideal,F,SI2,61.2,57.0,4372,6.39,6.48,3.94,5,5,2,38,3.6777242595343527,good,2
121,0.31,Very Good,F,VVS1,59.4,57.0,779,4.39,4.43,2.62,3,5,7,52,3.6504248015042267,regular,1
122,0.52,Good,F,SI2,58.7,64.0,1350,5.24,5.26,3.08,2,5,2,29,3.6752496625366913,regular,1
123,2.01,Ideal,H,SI2,62.5,53.9,14998,8.04,8.07,5.04,5,3,2,32,3.687968371983242,good,2
124,0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7,5,4,6,51,3.657454600369991,regular,1
125,0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64,3,1,3,24,3.5671988927414633,regular,1
126,1.13,Very Good,H,SI2,59.8,59.0,4537,6.75,6.82,4.06,3,3,2,26,3.6275675875230933,regular,1
127,0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,5,7,3,48,3.6609993887656445,regular,1
128,2.07,Premium,E,SI1,61.2,58.0,16957,8.24,8.19,5.03,4,6,3,42,3.6588322407388594,regular,1
129,0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48,4,4,4,40,3.670534479449969,regular,1
130,1.11,Ideal,F,VS2,60.4,58.0,7275,6.73,6.66,4.04,5,5,4,46,3.677930943168611,regular,1
131,1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93,4,5,2,35,3.766527369775778,good,2
132,1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6,5,3,4,40,3.636787504371139,regular,1
133,0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76,3,2,4,31,3.6663761602732627,regular,1
134,0.96,Premium,G,SI2,62.7,60.0,3215,6.29,6.11,3.89,4,4,2,32,3.8528404641573095,bad,0
135,0.31,Premium,D,VS2,62.3,55.0,942,4.35,4.32,2.7,4,7,4,49,3.6658625419800384,regular,1
136,0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36,3,4,5,41,3.696987509727698,regular,1
137,1.01,Premium,F,VVS1,62.5,58.0,7882,6.41,6.35,3.99,4,5,7,55,3.7313670629827973,good,2
138,0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82,5,3,6,48,3.661308463773549,regular,1
139,0.7,Premium,F,SI2,62.5,60.0,2373,5.66,5.61,3.52,4,5,2,35,3.757745249780547,regular,1
140,0.3,Ideal,H,VS1,62.1,54.0,675,4.35,4.32,2.69,5,3,5,44,3.560797048811406,regular,1
141,0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,5,3,7,52,3.5936098328723416,regular,1
142,0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,5,4,8,59,3.5849390005282578,regular,1
143,2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21,5,6,1,37,3.5948939851384205,regular,1
144,1.18,Premium,I,SI1,62.8,56.0,5088,6.74,6.71,4.22,4,2,3,30,3.70969658307812,regular,1
145,1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29,3,4,2,29,3.701030961611572,regular,1
146,1.72,Ideal,G,VS2,62.8,57.0,12830,7.65,7.58,4.78,5,4,4,43,3.7232410986938134,regular,1
147,2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02,5,5,2,38,3.625746218256502,good,2
148,1.03,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93,4,4,3,36,3.682197077622502,good,2
149,0.7,Ideal,F,VS2,62.0,56.0,2671,5.71,5.74,3.55,5,5,4,46,3.6097151874555173,regular,1
150,1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02,2,6,3,36,3.8529988614960597,good,2
151,1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,1,3,5,32,3.747229860325755,good,2
152,1.1,Ideal,F,VVS2,61.2,56.0,10487,6.66,6.74,4.1,5,5,6,54,3.5861293732032684,regular,1
153,0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3,5,7,8,68,3.6584382809060525,regular,1
154,0.3,Very Good,H,VS2,63.5,59.0,608,4.27,4.2,2.69,3,3,4,34,3.7311530133413595,regular,1
155,0.56,Ideal,E,VS1,61.3,55.0,1930,5.29,5.32,3.25,5,6,5,53,3.6735724726969385,regular,1
156,0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8,4,5,3,39,3.74506223946677,regular,1
157,0.57,Very Good,E,VS2,60.7,58.0,1732,5.37,5.33,3.25,3,6,4,43,3.676556550035435,regular,1
158,0.72,Ideal,D,SI2,61.2,57.0,2328,5.76,5.8,3.54,5,7,2,44,3.6528345996493274,regular,1
159,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,1,3,3,24,3.7829025515223758,good,2
160,0.4,Ideal,G,VVS1,62.1,53.0,1043,4.75,4.79,2.96,5,4,7,55,3.5636119582938615,regular,1
161,1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25,4,2,2,26,3.6976233172530497,regular,1
162,1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03,5,4,8,59,3.6334739127556603,good,2
163,1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06,5,3,4,40,3.6976198341240907,regular,1
164,0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7,4,4,8,56,3.7200116334909263,regular,1
165,0.42,Very Good,E,VVS2,59.8,56.0,1167,4.9,4.92,2.94,3,6,6,51,3.5554291402972344,regular,1
166,1.36,Very Good,F,SI1,62.8,53.0,6597,7.05,7.1,4.45,3,5,3,36,3.663386005730775,regular,1
167,0.58,Ideal,F,VS1,62.1,56.0,2088,5.38,5.32,3.32,5,5,5,50,3.66224379868469,regular,1
168,1.02,Good,G,SI1,63.6,58.0,4964,6.34,6.39,4.05,2,4,3,30,3.7299781083196613,good,2
169,1.19,Good,E,VS2,57.4,60.0,6937,6.9,7.0,3.99,2,6,4,40,3.7049144600632005,regular,1
170,2.01,Good,D,SI2,64.6,55.0,15394,7.85,7.98,5.11,2,7,2,35,3.7675051927374112,good,2
171,1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18,3,5,2,32,3.766878440572596,regular,1
172,0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63,4,7,2,41,3.5675142245033546,regular,1
173,0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75,4,7,4,49,3.647686663715587,regular,1
174,0.31,Ideal,F,VS2,61.6,56.0,749,4.38,4.35,2.69,5,5,4,46,3.6290863072817627,regular,1
175,0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2,3,5,5,44,3.680479825517993,regular,1
176,0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17,3,7,4,46,3.71103083629119,regular,1
177,1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88,3,3,2,26,3.725357560886898,regular,1
178,1.04,Very Good,H,VS2,60.9,58.0,5447,6.5,6.6,3.99,3,3,4,34,3.6454773296878566,good,2
179,1.41,Ideal,G,VS2,60.8,55.0,10581,7.27,7.2,4.4,5,4,4,43,3.6732524696761275,regular,1
180,0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67,5,6,3,45,3.5874696858811546,regular,1
181,0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75,5,3,5,44,3.6034593209481094,regular,1
182,1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1,5,7,3,48,3.6323221846933045,regular,1
183,0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69,5,2,2,29,3.6794902837717864,regular,1
184,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91,2,4,3,30,3.777700507889001,regular,1
185,0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62,3,1,3,24,3.6953290843289865,regular,1
186,0.3,Very Good,F,IF,62.1,57.0,886,4.26,4.3,2.66,3,5,8,56,3.694135436856143,regular,1
187,0.41,Ideal,D,VVS1,60.6,57.0,1582,4.82,4.79,2.91,5,7,7,64,3.66150445145171,regular,1
188,1.01,Premium,H,SI2,59.4,62.0,3083,6.47,6.43,3.83,4,3,2,29,3.8032826006605434,good,2
189,1.02,Very Good,G,VVS1,63.0,58.0,7657,6.4,6.43,4.04,3,4,7,49,3.681112668031967,good,2
190,0.27,Ideal,G,VS1,62.3,53.0,527,4.16,4.19,2.6,5,4,5,47,3.574656479925435,regular,1
191,0.7,Very Good,F,SI1,62.6,56.0,2196,5.66,5.72,3.56,3,5,3,36,3.6440710200983357,regular,1
192,1.51,Ideal,I,VS2,62.3,57.0,9297,7.28,7.37,4.56,5,2,4,37,3.7030918806252666,regular,1
193,2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22,5,1,2,26,3.6951680135470863,regular,1
194,0.54,Premium,G,VS2,62.7,58.0,1422,5.21,5.25,3.28,4,4,4,40,3.6113879098758095,regular,1
195,1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11,4,7,2,41,3.685569337537339,regular,1
196,0.9,Good,E,SI1,63.9,57.0,3795,6.12,6.08,3.9,2,6,3,36,3.721124077161229,regular,1
197,0.88,Fair,F,SI1,56.6,65.0,2882,6.39,6.32,3.6,1,5,3,30,3.6317294295543543,regular,1
198,0.7,Fair,G,SI2,58.6,56.0,2208,5.8,5.74,3.38,1,4,2,23,3.7324388750926882,regular,1
199,0.31,Premium,H,SI1,62.7,58.0,558,4.34,4.31,2.71,4,3,3,33,3.669244514785221,regular,1
200,1.25,Ideal,G,SI2,61.1,55.0,6371,6.95,6.99,4.26,5,4,2,35,3.6240124747207014,regular,1
201,1.01,Premium,G,SI2,59.1,59.0,4242,6.55,6.51,3.86,4,4,2,32,3.68182405583541,good,2
202,0.3,Very Good,F,SI2,63.5,57.0,506,4.25,4.22,2.69,3,5,2,32,3.730944975816222,regular,1
203,0.28,Very Good,E,VS1,59.5,59.0,487,4.29,4.35,2.57,3,6,5,47,3.502915082144923,regular,1
204,0.51,Premium,F,SI2,61.1,59.0,1227,5.15,5.09,3.13,4,5,2,35,3.7295125898777495,regular,1
205,0.52,Ideal,I,VS2,61.9,58.0,1232,5.14,5.17,3.19,5,2,4,37,3.6805290411318237,regular,1
206,0.52,Premium,G,VVS1,59.2,58.0,2153,5.31,5.28,3.14,4,4,7,52,3.5440227602594008,regular,1
207,0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71,2,7,2,35,3.6259779564713437,regular,1
208,0.51,Very Good,D,SI1,62.2,58.0,1398,5.08,5.11,3.17,3,7,3,42,3.7185836192065373,regular,1
209,0.42,Premium,D,VVS2,62.8,59.0,1241,4.76,4.73,2.98,4,7,6,57,3.7559187018877247,regular,1
210,1.82,Premium,H,VS2,61.6,60.0,14749,7.78,7.74,4.78,4,3,4,37,3.793797832599129,regular,1
211,0.7,Very Good,E,VS2,58.9,60.0,2845,5.83,5.85,3.44,3,6,4,43,3.579863167401561,regular,1
212,1.37,Ideal,G,VVS2,62.3,55.5,12207,7.05,7.14,4.43,5,4,6,51,3.686215853230491,regular,1
213,1.0,Premium,G,SI2,62.7,59.0,4095,6.3,6.36,3.97,4,4,2,32,3.7719252585466165,good,2
214,1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18,5,4,2,35,3.676303817998779,regular,1
215,1.01,Premium,E,VS1,62.0,59.0,7964,6.42,6.38,3.97,4,6,5,50,3.7267169667682376,good,2
216,0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14,5,3,3,36,3.687760830713855,regular,1
217,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94,4,6,5,50,3.5768134640987723,good,2
218,0.31,Ideal,F,IF,61.4,56.0,1061,4.38,4.41,2.7,5,5,8,62,3.566452794545858,regular,1
219,0.4,Very Good,D,VS2,63.3,58.0,845,4.63,4.66,2.94,3,7,4,46,3.7835284467423915,regular,1
220,0.32,Very Good,G,VS2,62.3,55.0,544,4.38,4.41,2.73,3,4,4,37,3.6410436186785082,regular,1
221,1.54,Premium,F,VS2,62.4,59.0,14578,7.43,7.38,4.62,4,5,4,43,3.647411978830421,regular,1
222,1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99,4,6,1,34,3.743018335050547,regular,1
223,1.05,Premium,G,VS2,61.9,59.0,5821,6.56,6.52,4.05,4,4,4,40,3.636922872296209,regular,1
224,1.0,Good,G,VS1,63.9,55.0,6028,6.34,6.28,4.03,2,4,5,38,3.73936021142243,good,2
225,0.3,Very Good,I,VS1,63.3,59.0,608,4.23,4.2,2.67,3,2,5,35,3.794648786281585,regular,1
226,0.3,Very Good,E,VS2,62.4,57.0,658,4.24,4.26,2.65,3,6,4,43,3.7605483380883378,regular,1
227,1.0,Good,G,VVS2,60.9,56.0,7492,6.49,6.52,3.96,2,4,6,42,3.580665665799,good,2
