,price
291,917.0
292,2611.0
293,810.0
294,4616.0
295,717.0
296,14256.0
297,6058.0
298,1129.0
299,2134.0
300,873.0
301,5529.0
302,2487.0
303,1443.0
304,16921.0
305,792.0
306,780.0
307,3972.0
308,1015.0
309,871.0
310,11650.0
311,6709.0
312,2054.0
313,4304.0
314,651.0
315,1114.0
316,7722.0
317,10255.0
318,666.0
319,7345.0
320,702.0
321,4624.0
322,3226.0
323,730.0
324,1002.0
325,2523.0
326,10688.0
327,16337.0
328,3752.0
329,4316.0
330,8870.0
331,2946.0
332,3002.0
333,4883.0
334,598.0
335,1813.0
336,3276.0
337,1294.0
338,803.0
339,658.0
340,6666.0
341,6738.0
342,819.0
343,12257.0
344,882.0
345,663.0
346,3423.0
347,2096.0
348,758.0
349,15278.0
350,737.0
351,7915.0
352,5206.0
353,11380.0
354,2813.0
355,2862.0
356,571.0
357,2858.0
358,7308.0
359,565.0
360,846.0
361,5485.0
362,716.0
363,5077.0
364,3126.0
365,4400.0
366,1298.0
367,4592.0
368,14236.0
369,1163.0
370,6036.0
371,13996.0
372,904.0
373,2059.0
374,3294.0
375,1341.0
376,4508.0
377,2376.0
378,1095.0
379,967.0
380,485.0
381,5599.0
382,3669.0
383,878.0
384,1914.0
385,1262.0
386,5646.0
387,945.0
388,9414.0
389,1244.0
390,1059.0
391,5624.0
392,3481.0
393,3003.0
394,3853.0
395,3332.0
396,1052.0
397,1593.0
398,9039.0
399,4340.0
400,8067.0
401,2456.0
402,3454.0
403,4133.0
404,734.0
405,3153.0
406,1218.0
407,545.0
408,2693.0
409,842.0
410,1733.0
411,665.0
412,832.0
413,18115.0
414,1244.0
415,1857.0
416,2897.0
417,2863.0
418,709.0
419,4368.0
420,4370.0
421,2453.0
422,1153.0
423,1333.0
424,1828.0
425,6777.0
426,10317.0
427,1273.0
428,625.0
429,6301.0
430,1141.0
431,552.0
432,876.0
433,2624.0
434,1235.0
435,1967.0
436,779.0
437,920.0
438,1064.0
439,1397.0
440,936.0
441,12738.0
442,16319.0
443,5040.0
444,1271.0
445,4565.0
446,3999.0
447,8414.0
448,6794.0
449,1240.0
450,10519.0
451,914.0
452,1841.0
453,622.0
454,16431.0
455,5353.0
456,2224.0
457,6097.0
458,999.0
459,5446.0
460,4295.0
461,589.0
462,789.0
463,10512.0
464,926.0
465,3131.0
466,1167.0
467,5068.0
468,5842.0
469,396.0
470,984.0
471,1815.0
472,684.0
473,605.0
474,5113.0
475,694.0
476,2136.0
477,594.0
478,7362.0
479,1357.0
480,664.0
481,4205.0
482,660.0
483,5491.0
484,568.0
485,4641.0
486,7665.0
487,8580.0
488,2608.0
489,2777.0
490,733.0
491,8602.0
492,743.0
493,706.0
494,1918.0
495,6332.0
496,3557.0
497,1333.0
498,7130.0
499,9384.0
500,5759.0
501,13156.0
502,847.0
503,1963.0
504,7987.0
505,666.0
506,3189.0
507,628.0
508,1148.0
509,14112.0
510,342.0
511,5206.0
512,2200.0
513,2797.0
514,6564.0
515,3162.0
516,2454.0
517,1415.0
518,4405.0
519,1712.0
520,1591.0
521,3180.0
522,3464.0
523,5851.0
524,574.0
525,2055.0
526,798.0
527,3696.0
528,754.0
529,1153.0
530,4355.0
531,4642.0
532,1851.0
533,764.0
534,561.0
535,4379.0
536,947.0
537,6532.0
538,3763.0
539,3301.0
540,5993.0
541,1719.0
542,625.0
543,4832.0
544,1007.0
545,2611.0
546,12059.0
547,3662.0
548,4437.0
549,13761.0
550,487.0
551,3160.0
552,10914.0
553,454.0
554,5607.0
555,1241.0
556,767.0
557,4181.0
558,504.0
559,8743.0
560,4637.0
561,4875.0
562,1628.0
563,6189.0
564,2016.0
565,4304.0
566,608.0
567,3199.0
568,6302.0
569,6436.0
570,561.0
571,1173.0
572,2276.0
573,2610.0
574,2973.0
575,3612.0
576,1084.0
577,555.0
578,1294.0
579,17989.0
580,11390.0
581,1583.0
582,2115.0
583,1561.0
584,4972.0
585,2423.0
586,3749.0
587,2670.0
588,615.0
589,559.0
590,2861.0
591,9058.0
592,4427.0
593,5293.0
594,790.0
595,2454.0
596,956.0
597,3024.0
598,767.0
599,1112.0
600,781.0
601,3388.0
602,693.0
603,5967.0
604,421.0
605,5542.0
606,7775.0
607,988.0
608,1007.0
609,605.0
610,5669.0
611,625.0
612,866.0
613,1619.0
614,2624.0
615,955.0
616,7370.0
617,6586.0
618,18795.0
619,7108.0
620,1813.0
621,458.0
622,599.0
623,2618.0
624,3575.0
625,5051.0
626,982.0
627,5430.0
628,15688.0
629,904.0
630,2834.0
631,1193.0
632,1865.0
633,18709.0
634,959.0
635,665.0
636,7277.0
637,2475.0
638,702.0
639,7414.0
640,6343.0
641,713.0
642,17761.0
643,720.0
644,5812.0
645,504.0
646,9467.0
647,1009.0
648,1052.0
649,561.0
650,4633.0
651,5882.0
652,1817.0
653,8637.0
654,10283.0
655,5839.0
656,982.0
657,4620.0
658,2241.0
659,2753.0
660,4641.0
661,6606.0
662,844.0
663,2274.0
664,2030.0
665,15433.0
666,4435.0
667,447.0
668,5224.0
669,574.0
670,4381.0
671,791.0
672,601.0
673,6905.0
674,2352.0
675,5027.0
676,1056.0
677,684.0
678,9478.0
679,724.0
680,844.0
681,3599.0
682,1014.0
683,2050.0
684,2569.0
685,1678.0
686,2695.0
687,7063.0
688,4246.0
689,7324.0
690,2155.0
691,5111.0
692,911.0
693,1858.0
694,9104.0
695,6543.0
696,10947.0
697,3112.0
698,780.0
699,4077.0
700,4184.0
701,1323.0
702,943.0
703,1694.0
704,4639.0
705,1957.0
706,1939.0
707,10076.0
708,12833.0
709,5557.0
710,765.0
711,936.0
712,3471.0
713,2555.0
714,1041.0
715,3605.0
716,2348.0
717,1094.0
718,1214.0
719,1240.0
720,1709.0
721,1419.0
722,6710.0
723,2105.0
724,3880.0
725,2256.0
726,2932.0
727,1080.0
728,10302.0
729,604.0
730,686.0
731,630.0
732,2958.0
733,11815.0
734,3011.0
735,1000.0
736,1111.0
737,1053.0
738,1722.0
739,698.0
740,660.0
741,463.0
742,904.0
743,1245.0
744,4250.0
745,1163.0
746,3709.0
747,6133.0
748,7260.0
749,11351.0
750,2562.0
751,3017.0
752,1056.0
753,554.0
754,1009.0
755,3045.0
756,405.0
757,3888.0
758,16570.0
759,17407.0
760,734.0
761,8854.0
762,6797.0
763,17534.0
764,878.0
765,14234.0
766,743.0
767,11230.0
768,675.0
769,1314.0
770,775.0
771,732.0
772,1050.0
773,1580.0
774,4270.0
775,7467.0
776,1724.0
777,18125.0
778,620.0
779,12183.0
780,2096.0
781,8261.0
782,942.0
783,2106.0
784,1052.0
785,8501.0
786,790.0
787,3903.0
788,13578.0
789,15708.0
790,8509.0
791,959.0
792,1690.0
793,8900.0
794,605.0
795,3274.0
796,4702.0
797,9521.0
798,3781.0
799,1769.0
800,8220.0
801,491.0
802,2488.0
803,876.0
804,15339.0
805,10920.0
806,3824.0
807,492.0
808,1197.0
809,8093.0
810,6254.0
811,1204.0
812,6653.0
813,709.0
814,2281.0
815,2054.0
816,758.0
817,3318.0
818,844.0
819,2352.0
820,956.0
821,5962.0
822,2258.0
823,1576.0
824,1013.0
825,552.0
826,610.0
827,2925.0
828,1586.0
829,1595.0
830,4138.0
831,1881.0
832,3708.0
833,1243.0
834,589.0
835,895.0
836,5898.0
837,7666.0
838,5702.0
839,7349.0
840,3027.0
841,9783.0
842,1195.0
843,15426.0
844,1014.0
845,13287.0
846,680.0
847,3734.0
848,7740.0
849,8736.0
850,789.0
851,720.0
852,663.0
853,1027.0
854,1656.0
855,9892.0
856,5378.0
857,2670.0
858,4798.0
859,7592.0
860,4273.0
861,589.0
862,571.0
863,3774.0
864,2131.0
865,4306.0
866,4876.0
867,1151.0
868,6157.0
869,17924.0
870,4356.0
871,1273.0
872,3564.0
873,5450.0
874,947.0
875,7239.0
876,2452.0
877,2767.0
878,1327.0
879,1446.0
880,4260.0
881,7848.0
882,1580.0
883,2076.0
884,2553.0
885,3801.0
886,10235.0
887,1322.0
888,5679.0
889,2030.0
890,5732.0
891,5412.0
892,942.0
893,9641.0
894,2499.0
895,4717.0
896,1061.0
897,953.0
898,11094.0
899,526.0
900,14341.0
901,429.0
902,3095.0
903,734.0
904,8529.0
905,11352.0
906,4514.0
907,2715.0
908,1887.0
909,2443.0
910,3994.0
911,1111.0
912,571.0
913,802.0
914,4890.0
915,1720.0
916,9336.0
917,3807.0
918,6449.0
919,1115.0
920,16472.0
921,1786.0
922,15675.0
923,2373.0
924,1404.0
925,6086.0
926,12812.0
927,1695.0
928,1088.0
929,883.0
930,6013.0
931,3619.0
932,2745.0
933,847.0
934,5555.0
935,912.0
936,5569.0
937,1206.0
938,2650.0
939,6397.0
940,2122.0
941,3507.0
942,2298.0
943,1035.0
944,7102.0
945,3824.0
946,1257.0
947,982.0
948,752.0
949,1000.0
950,840.0
951,732.0
952,1363.0
953,7741.0
954,1066.0
955,1409.0
956,710.0
957,4170.0
958,3429.0
959,435.0
960,1678.0
961,1219.0
962,956.0
963,3089.0
964,6694.0
965,6183.0
966,2192.0
967,3208.0
968,2300.0
969,5154.0
970,536.0
971,1883.0
972,5713.0
973,3733.0
974,15819.0
975,5794.0
976,629.0
977,1119.0
978,581.0
979,3454.0
980,10455.0
981,11385.0
982,10082.0
983,2934.0
984,4452.0
985,576.0
986,1024.0
987,7096.0
988,1377.0
989,1093.0
990,3493.0
991,583.0
992,2381.0
993,2362.0
994,1986.0
995,815.0
996,5445.0
997,702.0
998,6908.0
999,17469.0
1000,906.0
1001,6860.0
1002,516.0
1003,6139.0
1004,16287.0
1005,15852.0
1006,3817.0
1007,2083.0
1008,555.0
1009,13157.0
1010,2548.0
1011,7080.0
1012,12454.0
1013,2012.0
1014,2215.0
1015,633.0
1016,698.0
1017,544.0
1018,3084.0
1019,4070.0
1020,11574.0
1021,4732.0
1022,4013.0
1023,1429.0
1024,889.0
1025,8299.0
1026,886.0
1027,7240.0
1028,4422.0
1029,4638.0
1030,4550.0
1031,565.0
1032,14146.0
1033,1226.0
1034,854.0
1035,1851.0
1036,503.0
1037,14334.0
1038,8669.0
1039,3963.0
1040,730.0
1041,1179.0
1042,5511.0
1043,491.0
1044,12392.0
1045,579.0
1046,4116.0
1047,1787.0
1048,1815.0
1049,689.0
1050,1272.0
1051,863.0
1052,507.0
1053,4535.0
1054,5424.0
1055,719.0
1056,3913.0
1057,906.0
1058,6124.0
1059,1175.0
1060,2375.0
1061,1008.0
1062,2278.0
1063,1915.0
1064,942.0
1065,2905.0
1066,5346.0
1067,6177.0
1068,4218.0
1069,2175.0
1070,2673.0
1071,995.0
1072,2902.0
1073,717.0
1074,957.0
1075,10832.0
1076,5014.0
1077,6300.0
1078,581.0
1079,450.0
1080,6659.0
1081,904.0
1082,802.0
1083,2592.0
1084,10035.0
1085,6048.0
1086,956.0
1087,5831.0
1088,743.0
1089,4582.0
1090,5864.0
1091,1299.0
1092,844.0
1093,1760.0
1094,2812.0
1095,4022.0
1096,7024.0
1097,499.0
1098,1019.0
1099,394.0
1100,8124.0
1101,5239.0
1102,10501.0
1103,1659.0
1104,12929.0
1105,1403.0
1106,1247.0
1107,698.0
1108,896.0
1109,863.0
1110,12261.0
1111,4743.0
1112,2832.0
1113,7519.0
1114,4194.0
1115,515.0
1116,2361.0
1117,3420.0
1118,3519.0
1119,756.0
1120,1210.0
1121,17473.0
1122,2648.0
1123,1297.0
1124,12987.0
1125,3215.0
1126,11869.0
1127,3179.0
1128,2164.0
1129,1406.0
1130,1764.0
1131,1389.0
1132,1356.0
1133,14372.0
1134,573.0
1135,4666.0
1136,6484.0
1137,5311.0
1138,14220.0
1139,3488.0
1140,2056.0
1141,9492.0
1142,4023.0
1143,6512.0
1144,2543.0
1145,11560.0
1146,11531.0
1147,707.0
1148,2993.0
1149,2226.0
1150,2874.0
1151,972.0
1152,900.0
1153,7175.0
1154,956.0
1155,7847.0
1156,15847.0
1157,675.0
1158,3199.0
1159,4821.0
1160,4108.0
1161,1661.0
1162,683.0
1163,2345.0
1164,1687.0
1165,653.0
1166,1433.0
1167,3508.0
1168,2833.0
1169,10214.0
1170,491.0
1171,2631.0
1172,1865.0
1173,756.0
1174,811.0
1175,1207.0
1176,12829.0
1177,9656.0
1178,4298.0
1179,2371.0
1180,522.0
1181,5154.0
1182,1682.0
1183,2717.0
1184,579.0
1185,6727.0
1186,1076.0
1187,1100.0
1188,871.0
1189,5683.0
1190,10619.0
1191,983.0
1192,5645.0
1193,2502.0
1194,1431.0
1195,776.0
1196,7465.0
1197,5880.0
1198,526.0
1199,5746.0
1200,5257.0
1201,880.0
1202,526.0
1203,2006.0
1204,606.0
1205,12155.0
1206,1436.0
1207,6272.0
1208,910.0
1209,1899.0
1210,533.0
1211,2615.0
1212,626.0
1213,2576.0
1214,911.0
1215,935.0
1216,4984.0
1217,4209.0
1218,7951.0
1219,1015.0
1220,1171.0
1221,3890.0
1222,4685.0
1223,4028.0
1224,5046.0
1225,4028.0
1226,1793.0
1227,3618.0
1228,421.0
1229,3160.0
1230,2749.0
1231,7054.0
1232,722.0
1233,15076.0
1234,14404.0
1235,4325.0
1236,916.0
1237,4435.0
1238,1114.0
1239,1996.0
1240,7211.0
1241,6509.0
1242,652.0
1243,3185.0
1244,4844.0
1245,1243.0
1246,591.0
1247,2363.0
1248,1634.0
1249,2881.0
1250,9457.0
1251,844.0
1252,1443.0
1253,1407.0
1254,2105.0
1255,1003.0
1256,8574.0
1257,16688.0
1258,4435.0
1259,972.0
1260,1114.0
1261,626.0
1262,10243.0
1263,2536.0
1264,12681.0
1265,3886.0
1266,9580.0
1267,3906.0
1268,5461.0
1269,2990.0
1270,1814.0
1271,4798.0
1272,9408.0
1273,16384.0
1274,9045.0
1275,5139.0
1276,675.0
1277,961.0
1278,723.0
1279,4022.0
1280,677.0
1281,733.0
1282,2104.0
1283,1324.0
1284,1080.0
1285,6872.0
1286,776.0
1287,626.0
1288,1018.0
1289,13420.0
1290,4207.0
1291,2090.0
1292,9193.0
1293,5763.0
1294,4187.0
1295,1409.0
1296,10838.0
1297,815.0
1298,4604.0
1299,3248.0
1300,3178.0
1301,781.0
1302,844.0
1303,3642.0
1304,3019.0
1305,1185.0
1306,3257.0
1307,2052.0
1308,684.0
1309,11573.0
1310,4325.0
1311,8580.0
1312,4764.0
1313,394.0
1314,480.0
1315,3734.0
1316,1264.0
1317,12499.0
1318,2423.0
1319,876.0
1320,2066.0
1321,9942.0
1322,526.0
1323,4221.0
1324,651.0
1325,4886.0
1326,10967.0
1327,789.0
1328,1603.0
1329,707.0
1330,1243.0
1331,4373.0
1332,3335.0
1333,3338.0
1334,773.0
1335,4190.0
1336,2268.0
1337,5197.0
1338,3959.0
1339,12468.0
1340,3349.0
1341,4649.0
1342,1629.0
1343,490.0
1344,5291.0
1345,12958.0
1346,14819.0
1347,18115.0
1348,3321.0
1349,1689.0
1350,485.0
1351,5559.0
1352,1370.0
1353,3640.0
1354,4189.0
1355,7773.0
1356,2931.0
1357,6759.0
1358,1289.0
1359,1052.0
1360,9873.0
1361,3057.0
1362,4531.0
1363,2926.0
1364,2500.0
1365,3804.0
1366,1915.0
1367,2318.0
1368,2370.0
1369,2467.0
1370,3461.0
1371,4372.0
1372,1176.0
1373,4462.0
1374,628.0
1375,1065.0
1376,2031.0
1377,8662.0
1378,828.0
1379,5913.0
1380,598.0
1381,628.0
1382,859.0
1383,878.0
1384,838.0
1385,6854.0
1386,1419.0
1387,3655.0
1388,898.0
1389,1720.0
1390,1688.0
1391,888.0
1392,972.0
1393,11419.0
1394,3998.0
1395,3393.0
1396,5280.0
1397,6823.0
1398,705.0
1399,3387.0
1400,1882.0
1401,788.0
1402,917.0
1403,4702.0
1404,4993.0
1405,1024.0
1406,10088.0
1407,1015.0
1408,17614.0
1409,2369.0
1410,4751.0
1411,1593.0
1412,15802.0
1413,8001.0
1414,8690.0
1415,3123.0
1416,3047.0
1417,7219.0
1418,4102.0
1419,871.0
1420,1711.0
1421,2153.0
1422,447.0
1423,572.0
1424,2409.0
1425,4543.0
1426,616.0
1427,1624.0
1428,4114.0
1429,3334.0
1430,608.0
1431,605.0
1432,1684.0
1433,487.0
1434,675.0
1435,945.0
1436,464.0
1437,5363.0
1438,9424.0
1439,552.0
1440,3628.0
1441,4173.0
1442,5207.0
1443,596.0
1444,1569.0
1445,1993.0
1446,2468.0
1447,2823.0
1448,3853.0
1449,778.0
1450,6004.0
1451,906.0
1452,752.0
1453,748.0
1454,619.0
1455,991.0
1456,4064.0
1457,2482.0
1458,526.0
1459,2559.0
1460,9139.0
1461,3879.0
1462,1781.0
1463,1140.0
1464,911.0
1465,7477.0
1466,725.0
1467,6146.0
1468,13379.0
1469,6937.0
1470,1060.0
1471,1079.0
1472,871.0
1473,6956.0
1474,5173.0
1475,4164.0
1476,1169.0
1477,2178.0
1478,14350.0
1479,485.0
1480,11917.0
1481,1122.0
1482,675.0
1483,877.0
1484,3932.0
1485,2220.0
1486,4839.0
1487,1877.0
1488,2321.0
1489,844.0
1490,4709.0
1491,5914.0
1492,3089.0
1493,1191.0
1494,13182.0
1495,3060.0
1496,5166.0
1497,975.0
1498,1262.0
1499,1926.0
1500,11946.0
1501,3998.0
1502,1078.0
1503,16210.0
1504,6604.0
1505,6303.0
1506,1203.0
1507,2858.0
1508,394.0
1509,830.0
1510,1196.0
1511,5260.0
1512,3966.0
1513,620.0
1514,854.0
1515,8829.0
1516,11170.0
1517,7079.0
1518,12787.0
1519,722.0
1520,1100.0
1521,2238.0
1522,744.0
1523,2021.0
1524,4274.0
1525,4152.0
1526,816.0
1527,1308.0
1528,3730.0
1529,3205.0
1530,1956.0
1531,11786.0
1532,5958.0
1533,3898.0
1534,966.0
1535,2947.0
1536,1882.0
1537,776.0
1538,602.0
1539,1667.0
1540,8900.0
1541,3185.0
1542,526.0
1543,1410.0
1544,10309.0
1545,14498.0
1546,2863.0
1547,744.0
1548,7636.0
1549,2974.0
1550,838.0
1551,4864.0
1552,11168.0
1553,546.0
1554,981.0
1555,3951.0
1556,2327.0
1557,1376.0
1558,5107.0
1559,4575.0
1560,5234.0
1561,4953.0
1562,561.0
1563,4309.0
1564,15946.0
1565,5908.0
1566,2705.0
1567,1576.0
1568,4202.0
1569,3872.0
1570,705.0
1571,2034.0
1572,7069.0
1573,2362.0
1574,965.0
1575,1148.0
1576,1746.0
1577,5005.0
1578,4241.0
1579,6134.0
1580,1774.0
1581,4089.0
1582,345.0
1583,1362.0
1584,3075.0
1585,9440.0
1586,5372.0
1587,8981.0
1588,2215.0
1589,17570.0
1590,917.0
1591,7891.0
1592,3730.0
1593,1333.0
1594,566.0
1595,1834.0
1596,730.0
1597,1955.0
1598,4044.0
1599,1024.0
1600,16786.0
1601,7072.0
1602,4504.0
1603,1267.0
1604,802.0
1605,1781.0
1607,11595.0
1608,816.0
1609,596.0
1610,5152.0
1611,2376.0
1612,4223.0
1613,2723.0
1614,933.0
1615,2401.0
1616,11912.0
1617,1081.0
1618,675.0
1619,732.0
1620,625.0
1621,4045.0
1622,7079.0
1623,1076.0
1624,1844.0
1625,1316.0
1626,492.0
1627,11523.0
1628,3122.0
1629,1220.0
1630,2387.0
1631,1882.0
1632,4482.0
1633,1235.0
1634,530.0
1635,1221.0
1636,1315.0
1637,7832.0
1638,7789.0
1639,1076.0
1640,3371.0
1641,571.0
1642,1016.0
1643,3977.0
1644,1155.0
1645,956.0
1646,4022.0
1647,898.0
1648,2351.0
1649,936.0
1650,554.0
1651,18128.0
1652,5595.0
1653,4072.0
1654,6984.0
1655,2313.0
1656,1318.0
1657,2499.0
1658,827.0
1659,571.0
1660,5667.0
1661,4649.0
1662,2873.0
1663,2106.0
1664,904.0
1665,17094.0
1666,1339.0
1667,707.0
1668,780.0
1669,8645.0
1670,1930.0
1671,3217.0
1672,388.0
1673,5292.0
1674,2048.0
1675,2881.0
1676,1013.0
1677,7273.0
1678,18149.0
1679,596.0
1680,5793.0
1681,596.0
1682,2867.0
1683,669.0
1684,856.0
1685,907.0
1686,2964.0
1687,18124.0
1688,1359.0
1689,1748.0
1690,1220.0
1691,868.0
1692,16872.0
1693,7991.0
1694,421.0
1695,8901.0
1696,2448.0
1697,15498.0
1698,1629.0
1699,2161.0
1700,624.0
1701,15291.0
1702,7751.0
1703,7522.0
1704,703.0
1705,6921.0
1706,6810.0
1707,942.0
1708,597.0
1709,18572.0
1710,2347.0
1711,4356.0
1712,5468.0
1713,5003.0
1714,688.0
1715,2087.0
1716,537.0
1717,4077.0
1718,13846.0
1719,2818.0
1720,1875.0
1721,3012.0
1722,6407.0
1723,666.0
1724,756.0
1725,799.0
1726,1586.0
1727,15983.0
1728,7840.0
1729,3502.0
1730,1069.0
1731,2099.0
1732,6261.0
1733,2163.0
1734,7623.0
1735,18020.0
1736,561.0
1737,1243.0
1738,12720.0
1739,756.0
1740,2591.0
1741,4303.0
1742,1434.0
1743,11011.0
1744,7041.0
1745,7996.0
1746,749.0
1747,533.0
1748,1323.0
1749,1114.0
1750,1111.0
1751,4072.0
1752,7230.0
1753,1389.0
1754,891.0
1755,707.0
1756,3343.0
1757,3046.0
1758,765.0
1759,720.0
1760,5951.0
1761,447.0
1762,717.0
1763,4685.0
1764,1016.0
1765,952.0
1766,956.0
1767,654.0
1768,3875.0
1769,921.0
1770,698.0
1771,749.0
1772,12555.0
1773,3205.0
1774,755.0
1775,3324.0
1776,605.0
1777,1389.0
1778,9315.0
1779,3558.0
1780,1417.0
1781,732.0
1782,368.0
1783,5801.0
1784,1050.0
1785,828.0
1786,1963.0
1787,3252.0
1788,4541.0
1789,1793.0
1790,3899.0
1791,709.0
1792,2107.0
1793,7177.0
1794,1091.0
1795,10885.0
1796,3421.0
1797,9173.0
1798,1738.0
1799,4150.0
1800,6468.0
1801,2266.0
1802,720.0
1803,868.0
1804,468.0
1805,648.0
1806,2863.0
1807,1759.0
1808,2160.0
1809,7403.0
1810,4805.0
1811,706.0
1812,14199.0
1813,1819.0
1814,11269.0
1815,489.0
1816,684.0
1817,505.0
1818,1859.0
1819,10819.0
1820,5358.0
1821,4355.0
1822,698.0
1823,9498.0
1824,945.0
1825,850.0
1826,8464.0
1827,1435.0
1828,8870.0
1829,4103.0
1830,1013.0
1831,3348.0
1832,536.0
1833,766.0
1834,1104.0
1835,1080.0
1836,3780.0
1837,4899.0
1838,644.0
1839,4636.0
1840,1035.0
1841,17009.0
1842,1821.0
1843,626.0
1844,6742.0
1845,1121.0
1846,6002.0
1847,1967.0
1848,2492.0
1849,2665.0
1850,990.0
1851,1676.0
1852,2428.0
1853,3282.0
1854,4916.0
1855,4791.0
1856,1337.0
1857,1374.0
1858,695.0
1859,5805.0
1860,2726.0
1861,2737.0
1862,2656.0
1863,971.0
1864,2862.0
1865,1247.0
1866,1941.0
1867,871.0
1868,6753.0
1869,1845.0
1870,3413.0
1871,15984.0
1872,7197.0
1873,4853.0
1874,670.0
1875,2139.0
1876,5824.0
1877,12765.0
1878,733.0
1879,2843.0
1880,601.0
1881,5038.0
1882,9920.0
1883,4627.0
1884,798.0
1885,1102.0
1886,2340.0
1887,1551.0
1888,1218.0
1889,1027.0
1890,1334.0
1891,14033.0
1892,565.0
1893,1216.0
1894,5390.0
1895,1090.0
1896,9273.0
1897,17051.0
1898,581.0
1899,475.0
1900,949.0
1901,4238.0
1902,1318.0
1903,10655.0
1904,11172.0
1905,4042.0
1906,1008.0
1907,2048.0
1908,6909.0
1909,732.0
1910,1787.0
1911,13812.0
1912,1656.0
1913,1163.0
1914,2492.0
1915,5432.0
1916,3316.0
1917,3175.0
1918,7087.0
1919,4791.0
1920,2035.0
1921,1694.0
1922,10314.0
1923,2263.0
1924,3692.0
1925,3954.0
1926,8020.0
1927,3274.0
1928,1436.0
1929,4312.0
1930,5050.0
1931,1031.0
1932,2607.0
1933,1125.0
1934,4578.0
1935,5008.0
1936,625.0
